Dataset,Method,ARI,NMI,Silhouette,Time,Clusters
Iris,KMeans,0.6201,0.6595,0.4599,2.1161,3
Iris,DBSCAN,0.4421,0.5114,0.3565,0.0011,3
Iris,OPTICS,0.0514,0.2924,-0.3009,0.1015,6
Iris,GMM,0.5165,0.6571,0.4751,0.0124,3
Iris,AGE,0.0514,0.2924,-0.3009,0.1206,6
Iris,AGE-GMM,0.5165,0.6571,0.4751,0.0141,3
Wine,KMeans,0.8975,0.8759,0.2849,0.0268,3
Wine,DBSCAN,0.0,0.0,NA,0.0014,1
Wine,OPTICS,0.0358,0.1949,-0.1336,0.1115,5
Wine,GMM,0.8975,0.8759,0.2849,0.0059,3
Wine,AGE,0.0358,0.1949,-0.1336,0.1133,5
Wine,AGE-GMM,0.8975,0.8759,0.2849,0.0142,3
BreastCancer,KMeans,0.6536,0.5324,0.3434,0.0365,2
BreastCancer,DBSCAN,0.0,0.0,NA,0.0056,1
BreastCancer,OPTICS,0.0277,0.0514,-0.0956,1.7885,2
BreastCancer,GMM,0.774,0.6611,0.3145,0.0118,2
BreastCancer,AGE,0.0277,0.0514,-0.0956,2.4046,2
BreastCancer,AGE-GMM,0.774,0.6611,0.3145,0.0278,2
Blobs,KMeans,1.0,1.0,0.7718,0.0265,3
Blobs,DBSCAN,0.0,0.0,NA,0.0042,1
Blobs,OPTICS,0.0035,0.1295,-0.7061,0.2708,7
Blobs,GMM,1.0,1.0,0.7718,0.0066,3
Blobs,AGE,0.0025,0.117,-0.7105,0.2612,6
Blobs,AGE-GMM,1.0,1.0,0.7718,0.0119,3
Circles,KMeans,-0.0016,0.0003,0.3536,0.0346,2
Circles,DBSCAN,0.0,0.0,NA,0.0049,1
Circles,OPTICS,0.0403,0.2646,0.1505,0.2204,41
Circles,GMM,-0.002,0.0,0.3484,0.0069,2
Circles,AGE,0.0349,0.2599,0.1339,0.2992,41
Circles,AGE-GMM,-0.002,0.0,0.3484,0.0094,2
Moons,KMeans,0.2525,0.192,0.4888,0.0366,2
Moons,DBSCAN,0.0,0.0,NA,0.0027,1
Moons,OPTICS,0.0164,0.2318,-0.0791,0.22,37
Moons,GMM,0.4668,0.3705,0.474,0.0079,2
Moons,AGE,0.0163,0.2302,-0.0909,0.2826,36
Moons,AGE-GMM,0.4668,0.3705,0.474,0.0103,2
SwissRoll,DBSCAN,0.0,0.0,NA,0.0031,1
SwissRoll,OPTICS,0.0,0.5883,-0.0203,0.2226,35
SwissRoll,AGE,0.0,0.5622,-0.0575,0.249,33
